place,pleiadesID,reprLat,reprLong,region,era
Dyrrachium,481818,41.3163425,19.447355,Epirus,Augustus
Philippi,501482,41.013317,24.28360833,Macedonia,Augustus
Pella,491687,40.757294,22.5220635,Macedonia,Augustus
Cassandreia,491701,40.193696,23.327812,Macedonia,Q. Hortensius Hortalus
Dion,491572,40.17485,22.488682,Macedonia,Q. Hortensius Hortalus
Buthrotum,530824,39.745527,20.020422,Macedonia,Caesar
Byllis,481777,40.54132268,19.73804172,Epirus,Augustus
Nicopolis,531013,39.0157,20.7360035,Achaea,Augustus
Patrae,570567,38.247847,21.735631,Achaea,Q. Hortensius Hortalus
Dyme,570205,38.144625,21.551425,Achaea,Caesar
Corinth,570182,37.90632916,22.88084139,Achaea,Caesar
Sinope,857321,42.025776,35.143037,Bithynia-and-Pontus,47 BCE
Heracleia Pontica,844944,41.28325533,31.41741367,Bithynia-and-Pontus,pre-Augustan
Apameia Myrleia,511194,40.37557275,28.88274275,Bithynia-and-Pontus,pre-Augustan
Parium,511354,40.420499,27.069096,Asia,pre-Augustan
Alexandria Troas,550434,39.7564735,26.1547495,Asia,Augustus
Antioch,609307,38.305175,31.1894355,Pisidia,Augustus
Olbasa,639015,37.3075125,30.009279,Pisidia,Augustus
Comama,638812,37.32209433,30.31431867,Pisidia,Augustus
Cremna,638814,37.4958065,30.695398,Pisidia,Augustus
Parlais,639039,38.0148725,30.7878535,Pisidia,Augustus
Lystra,648699,37.588278,32.3444725,Pisidia,Augustus
Ninica Claudiopolis,648723,36.64252433,33.43940333,Cilicia Tracheia,Augustus
Germa,609351,39.511421,31.616172,Galatia,Augustus
Archelais,628930,38.83082667,35.34248267,Cappadocia,Claudian
Iconium,648647,37.872202,32.492331,Lycaonia,Hadrianic
Knossos,589872,35.297847,25.1631,,
