,Easting,Northing,Average Elevation,"Cultural Material Weights (Discard + Keep, kg)"
0,588000.7114886211,4145044.6911305864,1182.78625,24
1,588000.5152668449,4145046.4344348502,1182.84425,0
2,587998.9099592482,4145052.100775378,1182.00625,21
3,587999.4528291278,4145056.988678835,1182.893,7
4,588000.6067569121,4145047.655943719,1182.55775,1
5,588000.4882277027,4145047.8222393855,1182.559,4
6,587997.3185264152,4145053.5208833124,1182.144125,1
7,587997.5736152125,4145053.1563043306,1182.1165,37
8,587998.4581161943,4145054.3429127247,1181.935125,1
9,588000.5194623504,4145048.047814825,1182.842375,5
10,587998.520437558,4145053.21623305,1182.04675,10
11,587998.292048959,4145053.398012508,1181.967375,6
12,587997.5963320934,4145053.01562698,1181.992125,0
13,587997.0852044779,4145052.829367816,1182.070875,1
14,587998.9148675147,4145057.751940436,1182.870375,1
15,587997.6370691833,4145054.016902219,1181.859875,0
16,587998.5922447154,4145053.955974454,1181.881875,1
17,587998.3997613519,4145056.1830970356,1183.3565,0
18,588000.5672045981,4145048.218085354,1183.03875,4
19,587997.6370691833,4145054.016902219,1181.77675,1
20,587998.5922447154,4145053.955974454,1181.808,3
21,587998.3997613519,4145056.1830970356,1183.083625,2
22,587997.6370691833,4145054.016902219,1181.673,2
23,587998.5922447154,4145053.955974454,1181.652125,6
24,587999.2889588265,4145056.0870755804,1181.827125,2
25,588000.4780177502,4145048.3702662555,1183.0735,6
26,588001.049705069,4145057.6502090953,1183.636625,2
27,588000.4426711348,4145048.5341115105,1183.197,4
28,588000.3965635821,4145048.795486564,1183.04325,0
29,588001.049705069,4145057.6502090953,1182.594875,2
30,587997.664521649,4145056.108758629,1181.739125,3
31,588000.0404429307,4145049.261080416,1183.168625,3
32,587998.0283517049,4145056.421064733,1181.84175,6
33,588001.049705069,4145057.6502090953,1183.162375,8
34,587999.2889588265,4145056.0870755804,1181.90025,0
35,587998.6675388282,4145056.2924445947,1181.728,2
36,587999.7353031677,4145055.9575288678,1181.762875,0
37,588002.6299207609,4145046.06619046,1183.530875,3
38,587999.967723176,4145049.9482548684,1182.709375,7
39,588002.6299207609,4145046.06619046,1183.314375,2
40,587998.0283517049,4145056.421064733,1181.636125,2
41,588002.9678238654,4145046.320524606,1183.453125,2
42,588002.8137949636,4145045.324710539,1183.655125,34
43,587997.9581086999,4145055.7845311956,1181.664125,2
44,587999.267609982,4145046.6309721367,1183.455125,7
45,587999.8470229578,4145045.796025256,1183.499875,15
46,587998.6675388282,4145056.2924445947,1181.583875,2
47,588003.6815774596,4145046.251500186,1184.21725,27
48,587999.7353031677,4145055.9575288678,1181.585375,0
49,588004.4412044467,4145045.9432900096,1183.833875,27
50,587998.8586041478,4145053.5293777906,1181.909,13
51,587997.6625399058,4145054.4532378195,1181.83625,15
52,588002.8208992782,4145054.8727591773,1183.969625,0
